Coin name,Percentage change,2023-09-03 01:00:00,2023-09-03 02:00:00,2023-09-03 03:00:00,2023-09-03 04:00:00,2023-09-03 05:00:00,2023-09-03 06:00:00,2023-09-03 07:00:00,2023-09-03 08:00:00,2023-09-03 09:00:00,2023-09-03 10:00:00,2023-09-03 11:00:00,2023-09-03 12:00:00,2023-09-03 13:00:00,2023-09-03 14:00:00,2023-09-03 15:00:00,2023-09-03 16:00:00,2023-09-03 17:00:00,2023-09-03 18:00:00,2023-09-03 19:00:00,2023-09-03 20:00:00,2023-09-03 21:00:00,2023-09-03 22:00:00,2023-09-03 23:00:00,2023-09-04 00:00:00,2023-09-04 01:00:00,2023-09-04 02:00:00,2023-09-04 03:00:00,2023-09-04 04:00:00,2023-09-04 05:00:00,2023-09-04 06:00:00,2023-09-04 07:00:00,2023-09-04 08:00:00,2023-09-04 09:00:00,2023-09-04 10:00:00,2023-09-04 11:00:00,2023-09-04 12:00:00,2023-09-04 13:00:00,2023-09-04 14:00:00,2023-09-04 15:00:00,2023-09-04 16:00:00,2023-09-04 17:00:00,2023-09-04 18:00:00,2023-09-04 19:00:00,2023-09-04 20:00:00,2023-09-04 21:00:00,2023-09-04 22:00:00,2023-09-04 23:00:00,2023-09-05 00:00:00,2023-09-05 01:00:00,2023-09-05 02:00:00,2023-09-05 03:00:00,2023-09-05 04:00:00,2023-09-05 05:00:00,2023-09-05 06:00:00,2023-09-05 07:00:00,2023-09-05 08:00:00,2023-09-05 09:00:00,2023-09-05 10:00:00,2023-09-05 11:00:00,2023-09-05 12:00:00,2023-09-05 13:00:00,2023-09-05 14:00:00,2023-09-05 15:00:00,2023-09-05 16:00:00,2023-09-05 17:00:00,2023-09-05 18:00:00,2023-09-05 19:00:00,2023-09-05 20:00:00,2023-09-05 21:00:00,2023-09-05 22:00:00,2023-09-05 23:00:00,2023-09-06 00:00:00,2023-09-06 01:00:00,2023-09-06 02:00:00,2023-09-06 03:00:00,2023-09-06 04:00:00,2023-09-06 05:00:00,2023-09-06 06:00:00,2023-09-06 07:00:00,2023-09-06 08:00:00,2023-09-06 09:00:00,2023-09-06 10:00:00,2023-09-06 11:00:00,2023-09-06 12:00:00,2023-09-06 13:00:00,2023-09-06 14:00:00,2023-09-06 15:00:00,2023-09-06 16:00:00,2023-09-06 17:00:00,2023-09-06 18:00:00,2023-09-06 19:00:00,2023-09-06 20:00:00,2023-09-06 21:00:00,2023-09-06 22:00:00,2023-09-06 23:00:00,2023-09-07 00:00:00,2023-09-07 01:00:00,2023-09-07 02:00:00,2023-09-07 03:00:00,2023-09-07 04:00:00,2023-09-07 05:00:00,2023-09-07 06:00:00,2023-09-07 07:00:00,2023-09-07 08:00:00,2023-09-07 09:00:00,2023-09-07 10:00:00,2023-09-07 11:00:00,2023-09-07 12:00:00,2023-09-07 13:00:00,2023-09-07 14:00:00,2023-09-07 15:00:00,2023-09-07 16:00:00,2023-09-07 17:00:00,2023-09-07 18:00:00,2023-09-07 19:00:00,2023-09-07 20:00:00,2023-09-07 21:00:00,2023-09-07 22:00:00,2023-09-07 23:00:00,2023-09-08 00:00:00,2023-09-08 01:00:00,2023-09-08 02:00:00,2023-09-08 03:00:00,2023-09-08 04:00:00,2023-09-08 05:00:00,2023-09-08 06:00:00,2023-09-08 07:00:00,2023-09-08 08:00:00,2023-09-08 09:00:00,2023-09-08 10:00:00,2023-09-08 11:00:00,2023-09-08 12:00:00,2023-09-08 13:00:00,2023-09-08 14:00:00,2023-09-08 15:00:00,2023-09-08 16:00:00,2023-09-08 17:00:00,2023-09-08 18:00:00,2023-09-08 19:00:00,2023-09-08 20:00:00,2023-09-08 21:00:00,2023-09-08 22:00:00,2023-09-08 23:00:00,2023-09-09 00:00:00,2023-09-09 01:00:00,2023-09-09 02:00:00,2023-09-09 03:00:00,2023-09-09 04:00:00,2023-09-09 05:00:00,2023-09-09 06:00:00,2023-09-09 07:00:00,2023-09-09 08:00:00,2023-09-09 09:00:00,2023-09-09 10:00:00,2023-09-09 11:00:00,2023-09-09 12:00:00,2023-09-09 13:00:00,2023-09-09 14:00:00,2023-09-09 15:00:00,2023-09-09 16:00:00,2023-09-09 17:00:00,2023-09-09 18:00:00,2023-09-09 19:00:00,2023-09-09 20:00:00,2023-09-09 21:00:00,2023-09-09 22:00:00,2023-09-09 23:00:00,2023-09-10 00:00:00
Nest Protocol,+14.83%,0,0,12,0,54,0,0,0,0,0,0,25,0,0,0,8,10,0,18,0,0,0,0,0,0,6,0,7,13,0,0,0,58,30,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,9,10,0,0,0,12,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,6,13,0,0,38,64,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,39,23,0,0,0,0,0,5,0,0,11,0,6,0,0,9,0,10,0,14,0,27,0,26,36,0,25,11,0,6,5,6,0,0,8,7,4,5,4,0
AGI Token,+11.12%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sperax,+3.03%,0,0,0,0,0,17,19,0,0,63,0,0,0,0,6,0,7,0,0,0,0,5,0,0,0,0,0,0,22,0,0,59,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,22,0,0,7,0,0,0,8,0,0,0,0,0,0,0,6,0,13,27,0,0,69,0,0,0,0,7,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,100,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,36,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,15,10,0,0,25,0,25,26,26,47,9,7,8,5,0,10,5,5,4,6,0,10,0
Flamingo,+2.80%,0,14,29,0,0,0,0,0,0,0,0,11,0,7,0,0,0,0,0,0,0,0,0,0,0,15,0,9,0,0,53,0,0,0,0,13,9,9,0,0,0,0,12,0,0,0,6,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,5,0,10,9,0,0,0,0,0,0,0,0,0,0,37,0,40,0,0,0,23,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,19,76,65,35,0,0,0,0,6,0,0,0,7,4,4,0,6,4,8,5,0,0,0,0,0,0,0,0,0,49,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,14,33,30,30,0,45,22,0,0,9,6,18,0,0,0,8,0,8,0,0,0
Dawn Protocol,+2.39%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unibot,+2.32%,0,0,0,0,0,0,52,0,0,50,0,45,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,7,0,0,8,9,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,17,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,10,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,0,14,0,35,41,80,0,0,0,23,29,17,0,19,16,8,0,0,8,17,0,0
DREP,+2.20%,0,0,16,35,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,15,0,16,15,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,25,0,0,9,0,11,0,43,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,8,0,0,0,0,15,0,0,18,10,0,0,29,44,93,0,0,42,0,0,0,17,11,8,15,0,11,23,10,0,0
Refereum,+1.90%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fei Protocol,+1.66%,10,27,15,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,13,0,0,0,72,0,0,100,0,0,0,16,15,0,42,0,0,28,11,0,0,0,0,0,0,0,0,33,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,16,51,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,15,0,0,8,10,0,0,0,0,0,0,0,36,0,0,0,7,0,23,0,0,0,15,0,0,0,0,22,9,0,17,0,25,34,44,41,47,37,23,0,13,0,9,21,0,7,0,0,0,22,0
BeNFT AI,+1.43%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FTX Token,+1.27%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,11,27,0,0,24,0,0,0,0,5,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,20,0,0,0,52,0,0,0,0,0,0,0,3,9,0,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,5,0,6,0,0,0,23,0,0,0,0,0,13,0,0,0,4,8,0,0,0,0,0,0,0,0,0,11,0,0,0,45,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,5,0,10,13,20,0,37,23,100,42,15,24,33,6,6,11,5,0,4,10,12,0,0,0
Crust Network,+1.19%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Machine Xchange Coin,+1.15%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crypton,+1.13%,0,0,6,7,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,7,0,0,0,0,0,0,11,0,34,0,0,0,0,20,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,11,21,21,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0,0,0,0,39,0,0,0,0,0,0,0,6,0,0,0,15,0,0,0,0,0,0,9,25,0,57,0,0,0,23,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,9,0,0,14,30,39,0,98,34,0,13,7,25,5,0,9,0,7,0,5,5,6,0
TENET,+1.05%,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,17,0,0,0,0,0,0,24,0,0,26,17,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,42,0,0,45,47,19,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,14,0,0,0,0,18,0,0,0,47,0,0,0,0,0,0,0,0,0,5,0,0,0,5,4,0,7,0,0,15,46,0,30,0,35,36,45,12,30,18,11,0,0,13,8,15,16,0,4,11
Ooki Protocol,+0.97%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e-RADIX,+0.97%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akropolis,+0.96%,0,0,0,19,0,0,0,0,0,0,0,15,0,0,0,8,0,0,17,0,0,15,0,0,0,0,0,0,0,0,0,0,43,0,0,20,0,0,8,0,0,8,0,0,18,0,0,0,0,0,0,0,0,51,45,0,0,0,0,0,0,0,0,0,0,9,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,84,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,7,0,0,0,0,0,0,0,0,0,0,0,8,0,26,0,0,81,84,27,100,30,0,25,0,8,7,0,9,0,0,0,0,0
Bitget Token,+0.89%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polkastarter,+0.81%,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,6,0,6,0,7,0,0,0,8,7,0,14,0,0,0,0,0,0,0,0,11,0,20,0,11,0,0,0,0,0,0,0,0,0,0,23,0,22,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,9,8,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,36,27,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,43,91,0,24,32,0,0,0,0,0,0,0,0,6,0,0,0,24,9,15,17,37,0,40,37,0,0,0,0,12,0,0,6,0,6,7,0,0,0,0,0
