Coin name,Category,Indicator
OpenANX,Onchain,Transaction Volume
OpenANX,Offchain,Social Media Sentiment
OpenANX,Onchain,Wallet Growth
OpenANX,Offchain,News and Media Coverage
OpenANX,Onchain,Token Velocity
OpenANX,Offchain,Regulatory Developments
OpenANX,Onchain,Exchange Inflow/Outflow
OpenANX,Offchain,Market Capitalization
OpenANX,Onchain,Network Hashrate
OpenANX,Offchain,Trading Volume
TOMI,Onchain,Transaction Volume
TOMI,Offchain,Social Media Sentiment
TOMI,Onchain,Wallet Growth
TOMI,Offchain,News and Media Coverage
TOMI,Onchain,Token Velocity
TOMI,Offchain,Developer Activity
TOMI,Onchain,Exchange Inflow/Outflow
TOMI,Offchain,Partnerships and Integrations
TOMI,Onchain,Smart Contract Activity
TOMI,Offchain,Market Capitalization and Trading Volume
DREP,Onchain,Trading Volume
DREP,Offchain,Social Media Sentiment
DREP,Onchain,Market Depth
DREP,Offchain,News and Media Coverage
DREP,Onchain,Token Circulation
DREP,Offchain,Exchange Listings
DREP,Onchain,Token Velocity
DREP,Offchain,Developer Activity
DREP,Onchain,Network Hashrate
DREP,Offchain,Market Correlations
Mirror Finance,Onchain,Trading Volume
Mirror Finance,Offchain,Social Media Sentiment
Mirror Finance,Onchain,Token Velocity
Mirror Finance,Offchain,News and Announcements
Mirror Finance,Onchain,Token Age Consumed
Mirror Finance,Offchain,Market Correlations
Mirror Finance,Onchain,Exchange Inflow/Outflow
Mirror Finance,Offchain,Trading Patterns
Mirror Finance,Onchain,Whale Transactions
Mirror Finance,Offchain,Market Depth
REI Network,Onchain,Transaction volume
REI Network,Offchain,Market sentiment
REI Network,Onchain,Wallet growth
REI Network,Offchain,Regulatory developments
REI Network,Onchain,Token circulation
REI Network,Offchain,Partnerships and collaborations
REI Network,Onchain,Network hash rate
REI Network,Offchain,Trading volume on exchanges
REI Network,Onchain,Smart contract activity
REI Network,Offchain,Technical analysis
Wrapped Ether,Onchain,Exchange Inflow/Outflow
Wrapped Ether,Offchain,Trading Volume
Wrapped Ether,Onchain,Token Velocity
Wrapped Ether,Offchain,Market Sentiment
Wrapped Ether,Onchain,Whale Transactions
Wrapped Ether,Offchain,Market Capitalization
Wrapped Ether,Onchain,Network Fees
Wrapped Ether,Offchain,Correlation with Ethereum
Wrapped Ether,Onchain,Active Addresses
Wrapped Ether,Offchain,Regulatory Developments
BitForex Token,Onchain,Trading volume
BitForex Token,Offchain,Market sentiment
BitForex Token,Onchain,Token velocity
BitForex Token,Offchain,Exchange listings
BitForex Token,Onchain,Token distribution
BitForex Token,Offchain,Regulatory developments
BitForex Token,Onchain,Network congestion
BitForex Token,Offchain,Market trends
BitForex Token,Onchain,Token burn rate
BitForex Token,Offchain,Trading volume on other exchanges
Hifi Finance,Onchain,Trading volume
Hifi Finance,Offchain,Market sentiment
Hifi Finance,Onchain,Token velocity
Hifi Finance,Offchain,Partnerships and collaborations
Hifi Finance,Onchain,Network activity
Hifi Finance,Offchain,Regulatory developments
Hifi Finance,Onchain,Token distribution
Hifi Finance,Offchain,Market trends
Hifi Finance,Onchain,Smart contract activity
Hifi Finance,Offchain,Technical analysis
Baby Doge Coin,Onchain,Transaction Volume
Baby Doge Coin,Offchain,Market Capitalization
Baby Doge Coin,Onchain,Wallet Growth
Baby Doge Coin,Offchain,News and Media Coverage
Baby Doge Coin,Onchain,Token Circulation
Baby Doge Coin,Offchain,Exchange Listings
Baby Doge Coin,Onchain,Whale Activity
Baby Doge Coin,Offchain,Trading Volume
Baby Doge Coin,Onchain,Social Media Sentiment
Baby Doge Coin,Offchain,Technical Analysis
REVV,Onchain,Transaction Volume
REVV,Offchain,Social Media Sentiment
REVV,Onchain,Token Velocity
REVV,Offchain,Trading Volume on Exchanges
REVV,Onchain,Token Distribution
REVV,Offchain,Market Capitalization
REVV,Onchain,Exchange Inflow/Outflow
REVV,Offchain,Partnership Announcements
REVV,Onchain,Network Hashrate
REVV,Offchain,Regulatory Developments
BlockBank,Onchain,Transaction volume
BlockBank,Offchain,Market sentiment
BlockBank,Onchain,Wallet growth
BlockBank,Offchain,Regulatory developments
BlockBank,Onchain,Token circulation
BlockBank,Offchain,Competitor analysis
BlockBank,Onchain,Network hash rate
BlockBank,Offchain,Market liquidity
BlockBank,Onchain,Token distribution
BlockBank,Offchain,Technology updates
Origin protocol,Onchain,Transaction volume
Origin protocol,Offchain,Social media sentiment
Origin protocol,Onchain,Wallet activity
Origin protocol,Offchain,Partnerships and collaborations
Origin protocol,Onchain,Token distribution
Origin protocol,Offchain,Regulatory developments
Origin protocol,Onchain,Network congestion
Origin protocol,Offchain,Market trends
Origin protocol,Onchain,Smart contract activity
Origin protocol,Offchain,Trading volume and liquidity
Safemoon V2,Onchain,Trading Volume
Safemoon V2,Offchain,Social Media Sentiment
Safemoon V2,Onchain,Token Circulation
Safemoon V2,Offchain,News and Announcements
Safemoon V2,Onchain,Whale Transactions
Safemoon V2,Offchain,Market Capitalization
Safemoon V2,Onchain,Token Burn Rate
Safemoon V2,Offchain,Competitor Analysis
Safemoon V2,Onchain,Staking and Liquidity Mining Participation
Safemoon V2,Offchain,Exchange Listings
Lovely Inu,Onchain,Trading Volume
Lovely Inu,Offchain,Social Media Sentiment
Lovely Inu,Onchain,Token Circulation
Lovely Inu,Offchain,News and Announcements
Lovely Inu,Onchain,Token Holders
Lovely Inu,Offchain,Market Trends
Lovely Inu,Onchain,Token Burn
Lovely Inu,Offchain,Exchange Listings
Lovely Inu,Onchain,Smart Contract Activity
Lovely Inu,Offchain,Token Metrics
Rainmaker Games,Onchain,Transaction volume
Rainmaker Games,Offchain,Social media sentiment
Rainmaker Games,Onchain,Wallet growth
Rainmaker Games,Offchain,News and media coverage
Rainmaker Games,Onchain,Token circulation
Rainmaker Games,Offchain,Trading volume on exchanges
Rainmaker Games,Onchain,Token distribution
Rainmaker Games,Offchain,Market capitalization
Rainmaker Games,Onchain,Network hash rate
Rainmaker Games,Offchain,Competitor analysis
Flamingo,Onchain,Transaction Volume
Flamingo,Offchain,Social Media Sentiment
Flamingo,Onchain,Token Velocity
Flamingo,Offchain,Exchange Trading Volume
Flamingo,Onchain,Token Age Consumed
Flamingo,Offchain,Market Capitalization
Flamingo,Onchain,Whale Accumulation/Distribution
Flamingo,Offchain,Flamingo Development Updates
Flamingo,Onchain,Network Hashrate
Flamingo,Offchain,Crypto Market Trends
Seedify.fund,Onchain,Transaction Volume
Seedify.fund,Offchain,Social Media Sentiment
Seedify.fund,Onchain,Wallet Distribution
Seedify.fund,Offchain,News and Media Coverage
Seedify.fund,Onchain,Token Velocity
Seedify.fund,Offchain,Market Capitalization
Seedify.fund,Onchain,Network Hashrate
Seedify.fund,Offchain,Competitor Analysis
Seedify.fund,Onchain,Developer Activity
Seedify.fund,Offchain,Regulatory Environment
Tokenlon,Onchain,Trading volume
Tokenlon,Offchain,Market sentiment
Tokenlon,Onchain,Token velocity
Tokenlon,Offchain,Regulatory developments
Tokenlon,Onchain,Network activity
Tokenlon,Offchain,Market liquidity
Tokenlon,Onchain,Token distribution
Tokenlon,Offchain,Competitor analysis
Tokenlon,Onchain,Token age consumed
Tokenlon,Offchain,Overall market trends
Dejitaru Tsuka,Onchain,Trading Volume
Dejitaru Tsuka,Offchain,Market Sentiment
Dejitaru Tsuka,Onchain,Network Hashrate
Dejitaru Tsuka,Offchain,Regulatory Developments
Dejitaru Tsuka,Onchain,Whale Transactions
Dejitaru Tsuka,Offchain,Market Capitalization
Dejitaru Tsuka,Onchain,Exchange Inflow/Outflow
Dejitaru Tsuka,Offchain,Technical Analysis
Dejitaru Tsuka,Onchain,Token Velocity
Dejitaru Tsuka,Offchain,Adoption and Partnerships
Perpetual Protocol,Onchain,Trading Volume
Perpetual Protocol,Offchain,Social Media Sentiment
Perpetual Protocol,Onchain,Network Hashrate
Perpetual Protocol,Offchain,News and Media Coverage
Perpetual Protocol,Onchain,Token Velocity
Perpetual Protocol,Offchain,Trading Volume on Spot Exchanges
Perpetual Protocol,Onchain,Whale Transactions
Perpetual Protocol,Offchain,Market Depth
Perpetual Protocol,Onchain,Exchange Inflow/Outflow
Perpetual Protocol,Offchain,Trading Strategies of Professional Traders
Ampleforth Governance Token,Onchain,Trading Volume
Ampleforth Governance Token,Offchain,Social Media Sentiment
Ampleforth Governance Token,Onchain,Token Velocity
Ampleforth Governance Token,Offchain,News and Media Coverage
Ampleforth Governance Token,Onchain,Whale Transactions
Ampleforth Governance Token,Offchain,Market Capitalization
Ampleforth Governance Token,Onchain,Exchange Inflows/Outflows
Ampleforth Governance Token,Offchain,Trading Patterns
Ampleforth Governance Token,Onchain,Token Age Consumed
Ampleforth Governance Token,Offchain,Market Sentiment Index
Serum,Onchain,Trading Volume
Serum,Offchain,Social Media Sentiment
Serum,Onchain,Token Velocity
Serum,Offchain,News and Media Coverage
Serum,Onchain,Whale Transactions
Serum,Offchain,Market Sentiment Index
Serum,Onchain,Token Age Consumed
Serum,Offchain,Trading Volume on Centralized Exchanges
Serum,Onchain,Exchange Inflow/Outflow
Serum,Offchain,Technical Analysis
Uquid Coin,Onchain,Transaction Volume
Uquid Coin,Offchain,Social Media Sentiment
Uquid Coin,Onchain,Wallet Addresses
Uquid Coin,Offchain,Trading Volume on Exchanges
Uquid Coin,Onchain,Token Velocity
Uquid Coin,Offchain,Market Capitalization
Uquid Coin,Onchain,Token Age Consumed
Uquid Coin,Offchain,News and Media Coverage
Uquid Coin,Onchain,Exchange Inflow/Outflow
Uquid Coin,Offchain,Developer Activity
FTX Token,Onchain,Transaction volume
FTX Token,Offchain,Trading volume
FTX Token,Onchain,Wallet activity
FTX Token,Offchain,Social media sentiment
FTX Token,Onchain,Token velocity
FTX Token,Offchain,News and media coverage
FTX Token,Onchain,Exchange inflows/outflows
FTX Token,Offchain,Market capitalization
FTX Token,Onchain,Whale transactions
FTX Token,Offchain,Trading patterns and technical analysis
pSTAKE Finance,Onchain,Staking participation rate
pSTAKE Finance,Offchain,Social media sentiment
pSTAKE Finance,Onchain,Token velocity
pSTAKE Finance,Offchain,Trading volume
pSTAKE Finance,Onchain,Whale accumulation
pSTAKE Finance,Offchain,Market capitalization
pSTAKE Finance,Onchain,Network activity
pSTAKE Finance,Offchain,Partnership announcements
pSTAKE Finance,Onchain,Token burn rate
pSTAKE Finance,Offchain,Regulatory developments
Ellipsis,Onchain,Trading Volume
Ellipsis,Offchain,Social Media Sentiment
Ellipsis,Onchain,Network Hashrate
Ellipsis,Offchain,News and Announcements
Ellipsis,Onchain,Token Circulation
Ellipsis,Offchain,Exchange Listings
Ellipsis,Onchain,Whale Transactions
Ellipsis,Offchain,Market Capitalization
Ellipsis,Onchain,Token Age Consumed
Ellipsis,Offchain,Market Depth
Ooki Protocol,Onchain,Trading Volume
Ooki Protocol,Offchain,Social Media Sentiment
Ooki Protocol,Onchain,Token Velocity
Ooki Protocol,Offchain,News and Media Coverage
Ooki Protocol,Onchain,Whale Transactions
Ooki Protocol,Offchain,Market Capitalization
Ooki Protocol,Onchain,Token Age Consumed
Ooki Protocol,Offchain,Exchange Listings
Ooki Protocol,Onchain,Network Hashrate
Ooki Protocol,Offchain,Token Holder Distribution
Juventus Fan Token,Onchain,Transaction volume
Juventus Fan Token,Offchain,Market capitalization
Juventus Fan Token,Onchain,Wallet distribution
Juventus Fan Token,Offchain,Trading volume on exchanges
Juventus Fan Token,Onchain,Token velocity
Juventus Fan Token,Offchain,News and media coverage
Juventus Fan Token,Onchain,Network hash rate
Juventus Fan Token,Offchain,Partnership announcements
Juventus Fan Token,Onchain,Social media sentiment
Juventus Fan Token,Offchain,Regulatory developments
Crust Network,Onchain,Transaction volume
Crust Network,Offchain,Market sentiment
Crust Network,Onchain,Token velocity
Crust Network,Offchain,Developer activity
Crust Network,Onchain,Network growth
Crust Network,Offchain,Partnerships and collaborations
Crust Network,Onchain,Whale activity
Crust Network,Offchain,Regulatory developments
Crust Network,Onchain,Staking participation
Crust Network,Offchain,Market trends
Troy,Onchain,Transaction volume
Troy,Offchain,Market sentiment
Troy,Onchain,Wallet growth
Troy,Offchain,Trading volume on exchanges
Troy,Onchain,Token circulation
Troy,Offchain,Regulatory developments
Troy,Onchain,Exchange inflows/outflows
Troy,Offchain,Market capitalization
Troy,Onchain,Network hash rate
Troy,Offchain,Competitor analysis
Akropolis,Onchain,Transaction Volume
Akropolis,Offchain,Market Sentiment
Akropolis,Onchain,Token Velocity
Akropolis,Offchain,Exchange Listings
Akropolis,Onchain,Token Distribution
Akropolis,Offchain,Regulatory Developments
Akropolis,Onchain,Network Hashrate
Akropolis,Offchain,Market Capitalization
Akropolis,Onchain,Developer Activity
Akropolis,Offchain,Competitor Analysis
Gods Unchained,Onchain,Transaction Volume
Gods Unchained,Offchain,Social Media Sentiment
Gods Unchained,Onchain,Token Velocity
Gods Unchained,Offchain,Trading Volume on Exchanges
Gods Unchained,Onchain,Token Age Consumed
Gods Unchained,Offchain,Partnership Announcements
Gods Unchained,Onchain,Exchange Inflow/Outflow
Gods Unchained,Offchain,Gaming Community Engagement
Gods Unchained,Onchain,Whale Transactions
Gods Unchained,Offchain,Market Capitalization
Choise.com,Onchain,Trading Volume
Choise.com,Offchain,Social Media Sentiment
Choise.com,Onchain,Network Hash Rate
Choise.com,Offchain,Market Capitalization
Choise.com,Onchain,Whale Transactions
Choise.com,Offchain,Regulatory Developments
Choise.com,Onchain,Exchange Inflow/Outflow
Choise.com,Offchain,Adoption and Partnerships
Choise.com,Onchain,Stablecoin Supply
Choise.com,Offchain,Technical Analysis
Kaspa,Onchain,Transaction Volume
Kaspa,Offchain,Social Media Sentiment
Kaspa,Onchain,Network Hashrate
Kaspa,Offchain,News and Media Coverage
Kaspa,Onchain,Wallet Addresses
Kaspa,Offchain,Trading Volume on Exchanges
Kaspa,Onchain,Exchange Inflow/Outflow
Kaspa,Offchain,Market Dominance
Kaspa,Onchain,Token Age Consumed
Kaspa,Offchain,Technical Analysis
FIO Protocol,Onchain,Transaction Volume
FIO Protocol,Offchain,Social Media Sentiment
FIO Protocol,Onchain,Wallet Addresses
FIO Protocol,Offchain,News and Media Coverage
FIO Protocol,Onchain,Token Velocity
FIO Protocol,Offchain,Trading Volume on Exchanges
FIO Protocol,Onchain,Exchange Inflow/Outflow
FIO Protocol,Offchain,Market Capitalization
FIO Protocol,Onchain,Network Hashrate
FIO Protocol,Offchain,Token Supply
Findora,Onchain,Trading Volume
Findora,Offchain,Market Sentiment
Findora,Onchain,Market Depth
Findora,Offchain,Regulatory Developments
Findora,Onchain,Network Hashrate
Findora,Offchain,Market Capitalization
Findora,Onchain,Token Circulation
Findora,Offchain,Technology Developments
Findora,Onchain,Token Age Consumed
Findora,Offchain,Economic Factors
UMA,Onchain,Trading Volume
UMA,Offchain,Market Sentiment
UMA,Onchain,Network Hashrate
UMA,Offchain,Exchange Listings
UMA,Onchain,Token Velocity
UMA,Offchain,Partnerships and Integrations
UMA,Onchain,Whale Transactions
UMA,Offchain,Regulatory Developments
UMA,Onchain,Token Age Consumed
UMA,Offchain,Market Capitalization
Prometeus,Onchain,Transaction Volume
Prometeus,Offchain,Social Media Sentiment
Prometeus,Onchain,Wallet Growth
Prometeus,Offchain,News and Media Coverage
Prometeus,Onchain,Token Circulation
Prometeus,Offchain,Developer Activity
Prometeus,Onchain,Exchange Inflow/Outflow
Prometeus,Offchain,Market Capitalization
Prometeus,Onchain,Token Age Consumed
Prometeus,Offchain,Trading Volume
Telos,Onchain,Transaction Volume
Telos,Offchain,Social Media Sentiment
Telos,Onchain,Token Circulation
Telos,Offchain,Trading Volume on Exchanges
Telos,Onchain,Token Velocity
Telos,Offchain,Market Capitalization
Telos,Onchain,Network Hashrate
Telos,Offchain,Regulatory Developments
Telos,Onchain,Developer Activity
Telos,Offchain,Partnerships and Integrations
VNDC,Onchain,Transaction volume
VNDC,Offchain,Market sentiment
VNDC,Onchain,Wallet growth
VNDC,Offchain,Trading volume on exchanges
VNDC,Onchain,Token velocity
VNDC,Offchain,Fiat currency exchange rates
VNDC,Onchain,Exchange inflows/outflows
VNDC,Offchain,Regulatory developments
VNDC,Onchain,Stablecoin market capitalization
VNDC,Offchain,Market trends
Tokocrypto,Onchain,Transaction Volume
Tokocrypto,Offchain,Social Media Sentiment
Tokocrypto,Onchain,Wallet Growth
Tokocrypto,Offchain,News and Media Coverage
Tokocrypto,Onchain,Token Velocity
Tokocrypto,Offchain,Trading Volume on Exchanges
Tokocrypto,Onchain,Exchange Inflow/Outflow
Tokocrypto,Offchain,Market Capitalization
Tokocrypto,Onchain,Whale Transactions
Tokocrypto,Offchain,Technical Analysis
aelf,Onchain,Transaction Volume
aelf,Offchain,Market Sentiment
aelf,Onchain,Token Velocity
aelf,Offchain,Trading Volume
aelf,Onchain,Network Hashrate
aelf,Offchain,Regulatory Developments
aelf,Onchain,Token Distribution
aelf,Offchain,Partnerships and Integrations
aelf,Onchain,Developer Activity
aelf,Offchain,Market Capitalization
Tornado Cash,Onchain,Transaction Volume
Tornado Cash,Offchain,Social Media Sentiment
Tornado Cash,Onchain,Token Velocity
Tornado Cash,Offchain,Exchange Trading Volume
Tornado Cash,Onchain,Whale Accumulation
Tornado Cash,Offchain,Regulatory Developments
Tornado Cash,Onchain,Token Age Consumed
Tornado Cash,Offchain,Market Capitalization
Tornado Cash,Onchain,Network Hashrate
Tornado Cash,Offchain,Partnership Announcements
Siacoin,Onchain,Transaction volume
Siacoin,Offchain,Social media sentiment
Siacoin,Onchain,Network hash rate
Siacoin,Offchain,News sentiment
Siacoin,Onchain,Wallet addresses
Siacoin,Offchain,Trading volume on exchanges
Siacoin,Onchain,Exchange inflows/outflows
Siacoin,Offchain,Market capitalization
Siacoin,Onchain,Token velocity
Siacoin,Offchain,Developer activity
WHALE,Onchain,Transaction Volume
WHALE,Offchain,Market Capitalization
WHALE,Onchain,Wallet Distribution
WHALE,Offchain,Trading Volume
WHALE,Onchain,Token Velocity
WHALE,Offchain,News and Media Coverage
WHALE,Onchain,Network Hashrate
WHALE,Offchain,Regulatory Developments
WHALE,Onchain,Social Media Sentiment
WHALE,Offchain,Market Sentiment Index
Adventure Gold,Onchain,Transaction Volume
Adventure Gold,Offchain,Social Media Sentiment
Adventure Gold,Onchain,Wallet Growth
Adventure Gold,Offchain,Market Capitalization
Adventure Gold,Onchain,Token Velocity
Adventure Gold,Offchain,Regulatory Developments
Adventure Gold,Onchain,Exchange Inflow/Outflow
Adventure Gold,Offchain,Partnership Announcements
Adventure Gold,Onchain,Mining Difficulty
Adventure Gold,Offchain,Market Trends
Ambire AdEx,Onchain,Trading volume
Ambire AdEx,Offchain,Market sentiment
Ambire AdEx,Onchain,Network activity
Ambire AdEx,Offchain,Partnership announcements
Ambire AdEx,Onchain,Token velocity
Ambire AdEx,Offchain,Regulatory developments
Ambire AdEx,Onchain,Whale transactions
Ambire AdEx,Offchain,Competitor analysis
Ambire AdEx,Onchain,Exchange inflows/outflows
Ambire AdEx,Offchain,Market trends
BeNFT AI,Onchain,Transaction volume
BeNFT AI,Offchain,Social media sentiment
BeNFT AI,Onchain,Wallet activity
BeNFT AI,Offchain,News and media coverage
BeNFT AI,Onchain,Token circulation
BeNFT AI,Offchain,Market capitalization
BeNFT AI,Onchain,Token distribution
BeNFT AI,Offchain,Trading volume on exchanges
BeNFT AI,Onchain,Network hash rate
BeNFT AI,Offchain,Competitor analysis
Nano,Onchain,Transaction Volume
Nano,Offchain,Social Media Sentiment
Nano,Onchain,Wallet Growth
Nano,Offchain,Trading Volume on Exchanges
Nano,Onchain,Exchange Inflows/Outflows
Nano,Offchain,Market Capitalization
Nano,Onchain,Network Hashrate
Nano,Offchain,News and Media Coverage
Nano,Onchain,Developer Activity
Nano,Offchain,Crypto Market Trends
Ethernity Chain,Onchain,Transaction Volume
Ethernity Chain,Offchain,Social Media Sentiment
Ethernity Chain,Onchain,Token Velocity
Ethernity Chain,Offchain,Market Capitalization
Ethernity Chain,Onchain,Active Addresses
Ethernity Chain,Offchain,NFT Market Trends
Ethernity Chain,Onchain,Whale Accumulation
Ethernity Chain,Offchain,Partnership Announcements
Ethernity Chain,Onchain,Token Burn Rate
Ethernity Chain,Offchain,Regulatory Developments
