date,Hifi Finance crypto,Unibot crypto,Akropolis crypto,Nest Protocol crypto,Groestlcoin crypto,isPartial,BlockBank crypto,Symbol crypto,Dusk Network crypto,Metal crypto,Merit Circle crypto,isPartial,NvirWorld crypto,Automata Network crypto,Wing Finance crypto,Helium crypto,SafePal crypto,isPartial,Cronos crypto,TrueFi crypto,Swop.fi crypto,Voyager Token crypto,Render Token crypto,isPartial,IoTeX crypto,Midnight crypto,Numeraire crypto,SPACE ID crypto,Ambrosus crypto,isPartial,My Neighbor Alice crypto,Gods Unchained crypto,Kadena crypto,Bella Protocol crypto,Bluzelle crypto,isPartial,Polkastarter crypto,Solana crypto,Santos FC Fan Token crypto,aelf crypto,Prosper crypto,isPartial,Pendle crypto,FIO Protocol crypto,BarnBridge crypto,1inch Token crypto,Arkham crypto,isPartial,Unifi Protocol DAO crypto,Audius crypto,JOE crypto,Atletico Madrid Fan Token crypto,Gitcoin crypto,isPartial,Open Campus crypto,Verge crypto,Reef Finance crypto,Ren crypto,SOLVE crypto,isPartial
2023-01-01,49,88,0,0,0,False,0,27,0,53,15,False,0,0,0,0,0,False,19,0,0,0,0,False,0,16,0,12,0,False,0,0,22,30,16,False,0,34,0,0,0,False,0,0,0,0,9,False,0,0,0,0,0,False,0,0,19,0,0,False
2023-01-02,0,0,0,0,0,False,0,0,0,40,0,False,0,0,0,0,0,False,69,0,0,0,0,False,0,0,0,25,0,False,0,19,23,0,0,False,0,43,0,0,0,False,0,0,0,0,10,False,0,0,0,0,0,False,0,0,0,32,0,False
2023-01-03,0,0,0,0,0,False,23,14,0,0,0,False,0,0,0,34,0,False,28,0,0,0,17,False,0,0,0,0,0,False,0,0,0,0,0,False,0,62,0,0,0,False,0,10,0,0,0,False,0,0,25,0,0,False,0,0,0,0,0,False
2023-01-04,31,43,0,32,0,False,0,24,0,15,0,False,0,0,55,33,0,False,47,0,0,0,0,False,32,0,0,0,0,False,0,0,0,0,0,False,0,50,0,0,0,False,7,0,0,7,0,False,0,0,0,0,0,False,0,0,0,21,24,False
2023-01-05,0,0,0,0,0,False,0,44,0,20,0,False,0,0,0,0,15,False,51,0,0,0,0,False,0,17,0,0,9,False,0,0,26,15,0,False,0,39,0,0,0,False,0,7,13,0,0,False,0,0,10,0,0,False,24,13,0,0,0,False
2023-01-06,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,34,0,False,20,0,0,0,0,False,27,0,10,0,0,False,0,0,16,14,0,False,0,31,0,0,0,False,0,0,7,0,0,False,0,0,14,0,0,False,0,0,0,37,0,False
2023-01-07,0,0,0,0,0,False,0,0,27,20,0,False,0,25,0,33,0,False,42,0,0,0,0,False,23,0,0,14,0,False,0,0,0,0,0,False,0,34,0,0,3,False,8,7,7,0,0,False,0,0,0,0,0,False,0,13,0,12,0,False
2023-01-08,0,0,0,42,0,False,17,0,0,33,0,False,0,0,19,65,0,False,22,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,29,0,0,0,False,0,4,0,0,0,False,0,0,35,0,0,False,0,21,0,0,32,False
2023-01-09,0,0,21,0,0,False,0,0,26,44,0,False,0,15,0,78,0,False,30,22,0,75,17,False,0,0,0,0,0,False,0,0,37,0,0,False,0,73,0,0,5,False,4,0,0,11,0,False,0,0,0,0,15,False,0,9,0,0,0,False
2023-01-10,0,0,31,0,0,False,0,0,0,0,0,False,0,0,0,32,0,False,0,0,0,0,29,False,0,26,0,0,0,False,0,0,0,0,0,False,0,32,0,0,0,False,0,0,0,0,0,False,0,0,14,0,0,False,0,0,0,0,0,False
2023-01-11,0,0,0,0,0,False,13,0,36,17,0,False,0,0,0,37,23,False,0,0,0,22,0,False,0,8,0,0,0,False,0,0,0,0,0,False,5,43,0,0,0,False,0,0,0,6,0,False,0,11,16,0,0,False,0,17,0,12,0,False
2023-01-12,0,0,18,0,0,False,0,0,0,0,0,False,0,23,0,51,0,False,44,0,0,0,0,False,0,0,0,9,0,False,24,0,0,0,0,False,0,35,0,0,3,False,6,0,0,0,4,False,0,0,14,0,0,False,0,14,0,12,25,False
2023-01-13,0,0,0,0,0,False,0,16,0,12,0,False,0,0,0,71,17,False,80,0,0,0,0,False,0,0,0,29,0,False,0,0,15,0,0,False,0,28,0,0,0,False,0,0,4,0,0,False,0,29,17,0,0,False,12,0,28,0,0,False
2023-01-14,65,0,0,0,0,False,0,0,0,0,0,False,0,0,0,45,0,False,21,27,0,0,0,False,0,0,35,0,0,False,0,0,0,0,0,False,0,100,0,4,4,False,0,0,0,6,0,False,0,29,15,0,0,False,0,0,0,0,20,False
2023-01-15,0,0,0,27,0,False,0,0,0,0,25,False,0,48,0,20,0,False,0,0,0,0,0,False,0,19,0,0,0,False,0,0,0,0,0,False,0,38,0,3,0,False,0,0,0,6,0,False,0,17,25,0,0,False,0,0,0,30,0,False
2023-01-16,0,0,0,0,0,False,0,0,0,95,0,False,0,33,15,39,55,False,48,17,0,0,0,False,0,24,0,0,0,False,0,0,0,0,0,False,0,49,0,0,0,False,0,0,0,0,9,False,0,17,0,0,0,False,0,0,0,0,0,False
2023-01-17,0,0,16,17,26,False,0,45,0,0,0,False,0,0,20,93,0,False,40,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,33,0,0,0,False,5,0,0,0,0,False,0,0,13,0,0,False,0,17,0,0,0,False
2023-01-18,0,0,0,0,14,False,0,24,0,0,0,False,0,0,0,35,60,False,28,0,0,27,0,False,0,0,0,0,0,False,0,0,26,0,0,False,0,31,0,0,3,False,0,0,0,0,0,False,0,0,0,0,33,False,34,0,0,13,11,False
2023-01-19,23,0,0,0,0,False,0,53,0,19,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,10,0,0,0,False,15,0,12,0,0,False,3,30,0,7,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False
2023-01-20,0,0,0,32,17,False,0,12,0,0,0,False,0,0,20,24,0,False,56,0,0,0,34,False,0,0,0,0,10,False,0,0,0,0,0,False,0,36,0,0,0,False,5,0,0,0,0,False,20,0,17,0,0,False,10,0,0,23,0,False
2023-01-21,0,0,0,24,52,False,0,36,0,20,0,False,0,0,0,25,0,False,17,0,0,25,0,False,0,0,0,0,0,False,0,0,23,0,0,False,0,54,0,0,0,False,0,8,0,0,0,False,0,0,15,0,0,False,0,0,0,0,15,False
2023-01-22,0,0,0,0,0,False,0,41,0,24,14,False,0,0,0,38,0,False,44,0,0,76,0,False,0,0,30,0,0,False,0,0,0,0,0,False,0,37,0,3,0,False,0,0,0,0,0,False,0,0,22,0,0,False,19,0,0,0,0,False
2023-01-23,0,21,0,0,0,False,0,32,0,47,0,False,0,0,0,0,0,False,50,0,0,43,44,False,0,0,0,0,0,False,0,0,21,0,0,False,0,47,0,9,0,False,0,5,0,0,0,False,0,0,21,0,0,False,49,0,0,35,0,False
2023-01-24,23,17,0,22,0,False,0,0,0,0,0,False,0,0,0,55,0,False,0,19,0,0,0,False,0,17,0,0,0,False,0,0,29,0,0,False,3,29,0,0,0,False,0,0,0,0,0,False,0,30,0,0,0,False,0,0,0,16,23,False
2023-01-25,0,15,0,0,0,False,0,0,27,0,0,False,0,0,16,30,0,False,36,0,0,0,0,False,12,0,11,9,0,False,0,0,21,0,0,False,9,30,0,0,0,False,0,0,0,0,0,False,0,14,0,0,0,False,16,0,18,0,0,False
2023-01-26,0,0,0,0,0,False,0,0,0,0,0,False,0,0,17,36,0,False,66,0,0,0,0,False,0,11,0,0,0,False,26,0,0,0,14,False,0,25,0,0,3,False,5,6,0,10,0,False,0,23,0,0,0,False,0,15,0,24,39,False
2023-01-27,0,0,0,0,0,False,0,0,0,18,0,False,0,0,0,39,30,False,17,0,0,0,0,False,0,0,0,10,0,False,0,0,0,0,0,False,0,25,0,0,0,False,0,0,0,7,0,False,0,0,0,0,0,False,0,31,0,0,0,False
2023-01-28,0,0,0,0,0,False,0,0,0,24,0,False,0,15,0,36,25,False,32,21,0,0,18,False,0,0,9,0,0,False,0,0,0,23,0,False,0,24,0,5,0,False,7,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,14,False
2023-01-29,0,25,0,0,0,False,0,12,0,0,0,False,0,0,0,48,37,False,40,0,0,0,53,False,24,0,0,0,0,False,0,0,47,0,0,False,5,31,0,0,6,False,0,0,0,0,0,False,0,0,0,0,0,False,10,0,22,0,0,False
2023-01-30,0,0,14,0,0,False,26,0,0,25,0,False,0,0,0,58,0,False,58,0,0,28,16,False,0,0,0,0,0,False,18,21,34,0,0,False,0,36,0,0,6,False,6,5,0,0,0,False,0,30,26,0,0,False,0,0,19,0,0,False
2023-01-31,0,0,0,21,0,False,20,0,0,12,38,False,0,0,26,0,22,False,16,47,0,25,0,False,0,0,11,12,0,False,0,11,0,0,0,False,0,29,0,6,0,False,0,0,0,0,18,False,0,0,0,0,21,False,0,11,0,13,0,False
2023-02-01,0,28,0,20,0,False,0,0,0,0,0,False,0,0,0,0,0,False,23,0,0,56,0,False,0,0,0,0,8,False,0,0,13,0,0,False,0,27,0,0,0,False,0,0,0,0,0,False,23,0,32,0,0,False,0,11,0,11,0,False
2023-02-02,0,0,0,0,55,False,15,56,16,17,0,False,0,0,0,54,0,False,27,0,0,0,48,False,0,22,31,0,12,False,0,0,0,11,0,False,0,36,0,7,0,False,0,0,0,0,0,False,0,11,17,0,0,False,12,0,0,0,11,False
2023-02-03,54,0,0,0,29,False,0,0,13,0,0,False,0,0,23,94,0,False,49,0,0,0,27,False,0,0,0,0,10,False,0,0,0,0,0,False,0,27,0,0,0,False,0,8,14,0,0,False,0,0,28,0,22,False,0,0,0,43,38,False
2023-02-04,0,16,0,0,0,False,22,38,0,0,28,False,0,0,0,57,0,False,59,0,0,0,0,False,0,20,44,0,13,False,0,0,0,0,0,False,0,24,0,5,0,False,0,6,0,0,9,False,12,17,16,0,0,False,0,18,0,14,0,False
2023-02-05,52,0,0,30,20,False,0,0,21,0,0,False,0,51,0,18,0,False,0,0,0,0,0,False,0,22,0,0,0,False,0,0,0,0,22,False,0,22,0,0,0,False,0,0,0,0,0,False,0,12,44,0,0,False,0,0,0,0,0,False
2023-02-06,0,18,0,0,0,False,0,24,13,0,0,False,0,0,0,32,17,False,32,0,0,0,42,False,0,0,66,0,0,False,0,0,15,0,0,False,3,20,0,0,0,False,0,0,7,0,12,False,0,12,0,0,0,False,0,0,0,23,0,False
2023-02-07,0,0,0,0,0,False,0,18,18,0,0,False,0,0,0,31,0,False,77,0,0,0,0,False,0,21,0,0,0,False,0,26,0,0,0,False,0,27,0,7,0,False,0,0,0,0,0,False,0,0,20,0,0,False,0,0,0,9,0,False
2023-02-08,0,0,0,0,0,False,0,11,23,14,0,False,0,0,0,0,0,False,40,0,0,0,0,False,0,0,12,0,0,False,0,14,0,0,19,False,0,32,0,2,7,False,0,0,11,0,0,False,0,19,20,0,0,False,0,0,0,15,0,False
2023-02-09,0,14,0,0,0,False,0,15,12,0,0,False,0,0,0,16,0,False,0,0,0,0,41,False,48,11,0,14,0,False,0,20,23,27,0,False,0,22,0,0,8,False,0,0,0,0,0,False,0,16,46,0,12,False,0,12,0,31,13,False
2023-02-10,0,44,0,0,38,False,0,0,0,43,0,False,0,0,0,0,14,False,23,0,0,0,0,False,0,0,0,0,9,False,0,0,18,0,0,False,0,17,0,0,0,False,0,10,7,0,0,False,0,0,9,0,0,False,0,0,0,0,0,False
2023-02-11,0,0,0,0,0,False,0,17,0,0,0,False,0,0,0,0,0,False,0,0,0,39,0,False,14,0,11,0,11,False,14,0,25,25,12,False,5,19,0,0,0,False,10,14,0,0,0,False,0,11,0,0,0,False,0,0,0,0,0,False
2023-02-12,0,0,0,0,0,False,0,0,0,17,18,False,0,0,0,0,0,False,44,0,0,0,0,False,0,22,0,0,0,False,0,0,0,0,0,False,0,39,0,0,0,False,0,18,0,0,7,False,0,11,0,0,0,False,0,0,14,22,15,False
2023-02-13,0,0,0,0,0,False,13,0,14,24,14,False,0,0,0,28,0,False,0,0,0,0,0,False,0,0,0,0,10,False,0,0,0,14,0,False,0,12,0,0,0,False,9,0,8,0,10,False,10,19,0,0,0,False,0,0,0,29,0,False
2023-02-14,0,0,24,0,25,False,0,32,0,0,0,False,0,0,0,16,0,False,0,0,0,0,0,False,0,0,12,11,26,False,23,0,0,0,0,False,0,21,0,3,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False
2023-02-15,0,0,17,0,0,False,0,35,0,22,0,False,0,0,16,85,0,False,24,0,0,0,0,False,0,27,0,0,0,False,0,0,11,13,0,False,5,21,0,0,0,False,8,0,0,0,0,False,14,0,0,0,0,False,0,18,0,0,17,False
2023-02-16,18,0,0,14,0,False,17,0,0,16,14,False,0,0,21,52,15,False,23,70,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,29,0,0,0,False,0,0,0,0,0,False,0,23,39,0,0,False,0,0,0,0,15,False
2023-02-17,0,0,25,0,0,False,0,18,18,18,0,False,0,0,0,28,23,False,48,17,0,29,0,False,0,0,9,0,0,False,0,0,0,0,0,False,0,15,0,0,0,False,9,0,5,0,0,False,0,0,12,0,0,False,14,0,0,12,0,False
2023-02-18,0,22,27,0,0,False,0,30,0,16,0,False,0,0,0,21,0,False,0,28,0,0,0,False,0,24,12,0,0,False,0,0,24,0,0,False,0,24,0,0,0,False,7,9,0,0,0,False,0,13,16,0,0,False,0,0,0,0,55,False
2023-02-19,0,0,0,0,27,False,0,17,0,0,0,False,0,0,0,57,0,False,20,18,0,0,0,False,0,12,0,0,0,False,0,0,0,0,0,False,0,29,0,0,0,False,6,0,0,0,0,False,0,13,32,0,0,False,70,0,0,0,0,False
2023-02-20,0,0,0,0,0,False,14,0,0,0,0,False,0,0,0,44,0,False,68,0,0,30,0,False,0,22,0,0,0,False,0,0,26,0,0,False,0,38,0,0,0,False,0,0,0,0,0,False,0,11,17,0,0,False,15,11,0,0,0,False
2023-02-21,0,0,24,0,0,False,0,40,0,0,0,False,0,0,0,51,0,False,100,0,0,31,0,False,27,12,28,0,0,False,0,0,0,0,0,False,4,35,0,0,0,False,10,0,9,0,0,False,0,0,0,0,0,False,0,0,0,21,0,False
2023-02-22,0,0,0,0,0,False,39,0,0,16,19,False,0,0,29,0,0,False,0,15,0,0,34,False,0,0,19,0,0,False,0,19,0,0,0,False,0,19,0,0,4,False,0,0,0,7,0,False,0,0,25,0,0,False,16,0,0,34,0,False
2023-02-23,0,0,0,0,0,False,0,14,0,0,0,False,0,0,0,37,0,False,0,0,0,0,0,False,12,10,0,0,0,False,10,0,0,17,16,False,0,21,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,34,False
2023-02-24,0,0,0,0,0,False,0,0,0,18,0,False,0,0,0,62,43,False,37,0,0,0,0,False,0,0,0,0,20,False,11,30,11,18,0,False,0,19,0,0,0,False,0,4,0,0,9,False,0,17,0,0,14,False,0,0,0,14,47,False
2023-02-25,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,42,0,False,0,0,0,0,0,False,0,0,0,14,0,False,0,0,17,0,0,False,0,26,0,0,0,False,0,0,0,0,0,False,0,0,20,0,0,False,0,0,0,17,25,False
2023-02-26,0,0,19,0,18,False,0,67,14,15,17,False,0,0,0,0,21,False,0,0,0,0,18,False,0,0,12,0,25,False,26,0,28,0,0,False,5,24,0,0,0,False,0,7,0,11,0,False,0,0,20,0,0,False,0,46,0,21,0,False
2023-02-27,0,0,0,0,0,False,0,0,20,47,15,False,0,0,0,0,0,False,28,0,0,0,0,False,0,0,0,0,0,False,0,0,13,0,0,False,0,26,0,0,0,False,0,0,0,0,5,False,13,35,0,0,57,False,0,0,0,0,16,False
2023-02-28,0,0,0,0,16,False,13,0,0,0,0,False,0,0,15,0,24,False,30,0,0,29,0,False,0,23,0,0,0,False,20,13,31,0,0,False,4,20,0,0,0,False,0,0,0,9,0,False,0,0,11,0,0,False,0,0,17,10,10,False
2023-03-01,0,0,0,0,0,False,0,11,0,38,0,False,0,0,0,19,0,False,0,25,0,0,0,False,0,0,0,0,0,False,19,0,0,0,0,False,0,19,0,0,0,False,0,0,0,0,0,False,0,0,35,0,0,False,0,34,0,24,12,False
2023-03-02,0,0,0,0,18,False,0,22,0,0,0,False,0,0,0,0,61,False,0,0,0,0,0,False,0,0,0,0,8,False,20,0,0,50,0,False,0,25,0,0,0,False,0,0,0,0,9,False,0,0,0,0,13,False,12,0,0,41,0,False
2023-03-03,20,0,21,26,31,False,0,31,47,18,0,False,0,0,21,0,0,False,40,17,0,47,0,False,0,0,0,0,0,False,0,0,0,0,25,False,0,6,0,0,0,False,0,0,12,0,0,False,0,0,20,0,0,False,0,0,18,0,12,False
2023-03-04,0,50,0,0,0,False,0,0,0,0,17,False,0,22,0,50,0,False,0,0,0,0,61,False,0,0,0,0,0,False,0,0,0,0,0,False,0,14,0,5,0,False,0,0,6,4,0,False,15,0,0,0,0,False,0,31,0,13,0,False
2023-03-05,0,0,0,0,0,False,0,17,13,13,0,False,0,0,0,37,0,False,0,61,0,0,0,False,0,9,0,12,0,False,0,0,0,0,18,False,0,16,0,0,0,False,0,0,5,0,0,False,0,52,0,0,11,False,0,0,0,13,0,False
2023-03-06,0,0,0,0,0,False,16,0,0,0,22,False,0,0,15,60,47,False,0,0,0,0,0,False,0,0,0,0,9,False,16,0,0,0,0,False,0,19,0,0,2,False,0,0,0,0,0,False,13,0,0,0,0,False,9,0,0,10,15,False
2023-03-07,0,0,0,0,27,False,0,17,0,0,0,False,0,0,0,0,0,False,38,36,0,0,47,False,0,0,12,0,0,False,0,0,36,0,16,False,0,16,0,0,0,False,0,0,5,0,0,False,0,0,26,0,0,False,0,0,0,12,0,False
2023-03-08,0,21,0,0,0,False,0,18,0,64,53,False,0,0,0,0,0,False,31,26,0,15,57,False,0,0,0,17,9,False,0,0,16,0,0,False,0,25,0,0,0,False,0,5,0,0,0,False,0,16,18,0,19,False,15,0,0,16,0,False
2023-03-09,0,0,0,0,0,False,0,0,0,24,0,False,0,0,0,0,0,False,19,0,0,0,25,False,0,0,0,0,0,False,0,0,0,0,0,False,0,16,0,0,0,False,13,5,0,0,0,False,0,0,40,0,0,False,0,0,0,0,0,False
2023-03-10,0,33,24,45,0,False,0,20,12,0,0,False,0,0,0,46,0,False,0,0,0,0,0,False,0,0,0,0,10,False,0,0,14,19,0,False,0,21,0,0,0,False,0,0,7,6,0,False,9,10,0,0,0,False,22,0,27,23,0,False
2023-03-11,0,0,0,0,0,False,0,0,0,14,17,False,0,0,0,45,30,False,18,54,0,0,26,False,0,13,0,15,26,False,0,0,0,12,0,False,0,17,0,0,0,False,0,0,0,0,0,False,0,0,11,0,0,False,0,0,38,0,0,False
2023-03-12,0,0,18,29,0,False,0,24,0,0,0,False,0,0,0,0,0,False,50,0,0,0,0,False,0,0,0,0,20,False,0,0,0,0,0,False,5,17,0,0,0,False,0,0,5,0,0,False,10,30,33,0,0,False,0,0,0,16,0,False
2023-03-13,0,44,26,39,0,False,0,0,22,0,0,False,0,0,0,21,26,False,0,0,0,0,0,False,0,8,0,0,0,False,0,14,15,0,0,False,0,17,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,23,11,0,15,10,False
2023-03-14,0,0,0,0,0,False,0,18,0,0,0,False,0,0,0,30,0,False,38,0,0,0,0,False,0,0,0,0,0,False,0,33,0,0,0,False,0,19,0,0,0,False,0,0,0,0,0,False,0,0,0,0,13,False,0,0,0,32,11,False
2023-03-15,0,0,0,0,0,False,15,23,0,0,16,False,0,18,34,62,19,False,23,31,0,0,21,False,0,10,0,9,0,False,30,0,17,0,0,False,0,19,0,0,0,False,0,0,0,7,5,False,0,0,12,0,0,False,0,0,0,18,0,False
2023-03-16,0,0,0,31,0,False,0,0,0,0,23,False,0,0,0,0,0,False,29,0,0,0,0,False,0,0,0,36,39,False,42,14,0,0,14,False,2,18,0,0,0,False,0,0,0,0,6,False,0,0,0,0,0,False,0,0,12,0,10,False
2023-03-17,0,0,0,0,0,False,0,15,0,0,0,False,0,0,0,90,0,False,15,0,0,0,0,False,38,0,14,0,0,False,0,0,26,0,0,False,0,19,0,0,0,False,9,0,6,0,0,False,0,0,10,0,0,False,0,11,0,20,11,False
2023-03-18,0,0,27,0,0,False,16,15,0,0,0,False,0,0,0,53,0,False,0,0,0,0,0,False,0,0,13,20,0,False,0,0,0,0,0,False,0,22,0,0,0,False,0,0,5,0,0,False,11,0,24,0,0,False,0,46,0,0,11,False
2023-03-19,29,0,0,50,0,False,14,34,14,0,13,False,0,0,0,19,0,False,0,0,0,0,0,False,0,0,0,15,0,False,0,0,0,0,0,False,0,15,0,0,0,False,5,0,0,0,0,False,0,0,31,0,11,False,0,0,0,17,0,False
2023-03-20,0,0,73,0,40,False,0,73,0,0,0,False,0,18,0,100,0,False,44,20,0,0,19,False,0,19,0,0,0,False,0,0,0,0,0,False,0,31,0,0,0,False,0,7,0,14,0,False,0,0,17,0,0,False,0,0,0,55,39,False
